LINKED_LAYER_NO,LINKED_SHRP_ID,SHRP_ID,STATE_CODE,LAYER_NO,FIELD_SET,TEST_NO,LOC_NO,CONSTRUCTION_NO,SAMPLE_NO,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,HYDRO_02,HYDRO_002,HYDRO_001,GT_2MM
1,C310,4155,1,1,1,1,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924,23.29999924,19.20000076,,6
1,C340,4155,1,1,1,1,BA*,1,BS**,100,100,100,100,100,99,98,95,94,74,40,25.29999924,23.29999924,19.20000076,,6
1,114,117,4,1,1,2,B304,1,BS04,100,100,99,96,95,90,88,79,66,38,27,17.20000076,13.30000019,7.400000095,6.699999809,34
1,115,116,4,1,1,2,B310,1,BS10,100,100,100,99,96,87,82,71,60,36,25,16.29999924,8.899999619,3.799999952,3.299999952,40
1,115,117,4,1,1,2,B304,1,BS04,100,100,99,96,95,90,88,79,66,38,27,17.20000076,13.30000019,7.400000095,6.699999809,34
1,116,114,4,1,1,2,B309,1,BS09,100,96,94,85,82,77,74,64,51,31,24,19.10000038,12.30000019,7.699999809,7.199999809,49
1,119,114,4,1,1,2,B309,1,BS09,100,96,94,85,82,77,74,64,51,31,24,19.10000038,12.30000019,7.699999809,7.199999809,49
1,121,121,4,1,3,1,BA263,2,BS263,100,100,100,100,97,87,82,70,58,36,25,15.80000019,8.5,4.5,,42
1,122,117,4,1,1,2,B304,1,BS04,100,100,99,96,95,90,88,79,66,38,27,17.20000076,13.30000019,7.400000095,6.699999809,34
1,122,124,4,1,1,2,B305,1,BS05,100,98,96,94,93,89,86,76,59,33,23,14.60000038,10.60000038,5.400000095,4.099999905,41
1,124,122,4,1,1,2,B313,1,BS13,100,93,90,86,84,79,76,69,60,39,27,18.60000038,11.39999962,6.699999809,6,40
1,162,161,4,1,1,2,B318,1,BS18,100,95,85,81,78,72,68,58,48,28,19,12.69999981,10,5.599999905,5.199999809,52
1,215,216,4,1,1,2,B306,1,BS06,100,100,100,100,99,97,93,83,75,49,35,25.60000038,13.5,6.900000095,6,25
1,215,261,4,1,1,2,B301,1,BS01,100,100,98,97,96,92,90,83,78,56,40,29.89999962,14,6.800000191,6.199999809,22
